epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4845.4,0.73935,0.60876,1.0331,0.14612,0.24744,0.16683,0.11249,1.43106,3.47806,1.5385,0.00029705,0.00029705,0.00029705
43,4959.88,0.73175,0.60383,1.02314,0.20829,0.23209,0.18663,0.12316,1.52439,3.52437,1.57398,0.0002921,0.0002921,0.0002921
44,5073.72,0.72128,0.58224,1.01784,0.38269,0.16193,0.16195,0.10608,1.50525,3.61795,1.60685,0.00028715,0.00028715,0.00028715
45,5186.01,0.72472,0.58916,1.02096,0.14243,0.23597,0.16069,0.10871,1.42288,3.41665,1.50456,0.0002822,0.0002822,0.0002822
46,5298.7,0.72543,0.59252,1.01871,0.13504,0.2497,0.15572,0.10741,1.53948,3.63519,1.62524,0.00027725,0.00027725,0.00027725
47,5412.34,0.71712,0.5797,1.02079,0.22565,0.20671,0.18368,0.12817,1.4773,3.40646,1.55476,0.0002723,0.0002723,0.0002723
48,5526.31,0.71263,0.57004,1.01764,0.1719,0.20853,0.154,0.10169,1.45265,3.47686,1.53051,0.00026735,0.00026735,0.00026735
49,5641.46,0.71308,0.5746,1.01753,0.1493,0.27651,0.17987,0.12565,1.40531,3.44685,1.47416,0.0002624,0.0002624,0.0002624
50,5758.97,0.71697,0.57669,1.01702,0.24619,0.19562,0.16382,0.1074,1.59735,3.66925,1.62958,0.00025745,0.00025745,0.00025745
51,5875.76,0.70077,0.56067,1.01071,0.15017,0.23504,0.17322,0.1196,1.55463,3.62173,1.61802,0.0002525,0.0002525,0.0002525
52,5993.57,0.70919,0.56896,1.01584,0.22397,0.21946,0.17103,0.11924,1.52514,3.67533,1.58788,0.00024755,0.00024755,0.00024755
53,6108.66,0.69169,0.55857,1.00791,0.19497,0.22954,0.16073,0.10954,1.55422,3.68037,1.64219,0.0002426,0.0002426,0.0002426
54,6224.68,0.69096,0.55031,1.0087,0.17352,0.23519,0.1645,0.11667,1.48576,3.67711,1.57541,0.00023765,0.00023765,0.00023765
55,6340.54,0.68605,0.5398,1.00345,0.25391,0.18524,0.16242,0.10609,1.52212,3.77833,1.60948,0.0002327,0.0002327,0.0002327
56,6455.22,0.68969,0.55114,1.00298,0.28405,0.17785,0.16508,0.1153,1.48839,3.68755,1.57441,0.00022775,0.00022775,0.00022775
57,6571.86,0.68186,0.53918,1.00307,0.17519,0.21976,0.16726,0.11372,1.5239,3.68577,1.60709,0.0002228,0.0002228,0.0002228
58,6689.04,0.67926,0.54649,1.00049,0.1539,0.19748,0.15723,0.10896,1.53494,3.85101,1.61815,0.00021785,0.00021785,0.00021785
59,6805.83,0.67621,0.53579,0.99962,0.3078,0.19033,0.1604,0.10899,1.58358,3.75116,1.64942,0.0002129,0.0002129,0.0002129
60,6921.99,0.67771,0.53488,1.00231,0.23379,0.19039,0.15975,0.10986,1.50614,3.75977,1.58214,0.00020795,0.00020795,0.00020795
61,7037.62,0.67571,0.53202,0.99999,0.13911,0.22007,0.15218,0.10462,1.57523,3.86121,1.6363,0.000203,0.000203,0.000203
62,7153.36,0.66957,0.52931,0.99712,0.21302,0.21354,0.16779,0.11762,1.47331,3.76433,1.56715,0.00019805,0.00019805,0.00019805
63,7268.07,0.67016,0.52089,0.99084,0.12009,0.23749,0.15748,0.11112,1.55819,3.85285,1.63941,0.0001931,0.0001931,0.0001931
64,7386.34,0.66583,0.52118,0.99028,0.22366,0.2284,0.17593,0.12447,1.52369,3.88898,1.60848,0.00018815,0.00018815,0.00018815
65,7500.55,0.66198,0.5228,0.98903,0.13287,0.24385,0.17398,0.12323,1.54748,3.76131,1.62021,0.0001832,0.0001832,0.0001832
66,7615.14,0.6654,0.52268,0.99326,0.30446,0.23646,0.18203,0.1241,1.59604,3.81277,1.64391,0.00017825,0.00017825,0.00017825
67,7730.73,0.65965,0.51456,0.9908,0.1524,0.25881,0.17434,0.12264,1.55029,3.79178,1.6131,0.0001733,0.0001733,0.0001733
68,7845.88,0.65394,0.51035,0.98951,0.16431,0.22147,0.16631,0.11576,1.53282,3.94441,1.62221,0.00016835,0.00016835,0.00016835
69,7961.42,0.66402,0.51212,0.98946,0.24078,0.23245,0.18256,0.12708,1.55041,3.78953,1.60979,0.0001634,0.0001634,0.0001634
70,8076.3,0.65671,0.50908,0.99104,0.24477,0.22537,0.17712,0.12407,1.50906,3.82698,1.58035,0.00015845,0.00015845,0.00015845
71,8191.07,0.65129,0.50777,0.98246,0.13918,0.25154,0.1742,0.12152,1.53476,3.7491,1.60903,0.0001535,0.0001535,0.0001535
72,8306.31,0.64086,0.4976,0.98097,0.13954,0.26019,0.17417,0.12357,1.50546,3.77856,1.59729,0.00014855,0.00014855,0.00014855
73,8420.94,0.64386,0.49582,0.98252,0.15014,0.24248,0.15202,0.10993,1.51372,3.78583,1.59022,0.0001436,0.0001436,0.0001436
74,8536.76,0.6423,0.49627,0.98128,0.15532,0.23545,0.17051,0.12172,1.52654,3.82354,1.60531,0.00013865,0.00013865,0.00013865
75,8651.79,0.63129,0.48878,0.9778,0.14677,0.24578,0.16099,0.11417,1.50212,3.81204,1.5728,0.0001337,0.0001337,0.0001337
76,8767.33,0.63822,0.48691,0.9833,0.21752,0.21898,0.16456,0.11543,1.55046,3.82394,1.63307,0.00012875,0.00012875,0.00012875
77,8883.35,0.64187,0.48899,0.981,0.24068,0.20733,0.15731,0.10914,1.61002,3.98479,1.66945,0.0001238,0.0001238,0.0001238
78,8998.75,0.63655,0.49473,0.98119,0.24399,0.20588,0.1737,0.12184,1.57322,3.89494,1.63239,0.00011885,0.00011885,0.00011885
79,9114.2,0.63574,0.48564,0.97519,0.16525,0.21688,0.1716,0.12208,1.54058,3.98217,1.61913,0.0001139,0.0001139,0.0001139
80,9228.75,0.62393,0.48232,0.97249,0.21912,0.21726,0.15445,0.10861,1.51064,3.92409,1.59332,0.00010895,0.00010895,0.00010895
81,9345.23,0.62776,0.48387,0.97422,0.23528,0.21009,0.17311,0.12287,1.56173,3.95519,1.6453,0.000104,0.000104,0.000104
82,9462.94,0.61878,0.47435,0.97182,0.17605,0.21187,0.17593,0.122,1.56265,3.90307,1.64304,9.905e-05,9.905e-05,9.905e-05
83,9580.91,0.61611,0.47047,0.96865,0.17256,0.21407,0.16796,0.11801,1.5366,3.92512,1.62068,9.41e-05,9.41e-05,9.41e-05
84,9697.91,0.61748,0.46756,0.97446,0.15871,0.21999,0.16421,0.11707,1.49959,3.86408,1.5919,8.915e-05,8.915e-05,8.915e-05
85,9812.84,0.62154,0.47489,0.97099,0.16958,0.20573,0.1697,0.11979,1.50703,3.80345,1.59406,8.42e-05,8.42e-05,8.42e-05
86,9928.02,0.60758,0.46594,0.96475,0.15196,0.23213,0.17916,0.12639,1.50845,3.88914,1.60152,7.925e-05,7.925e-05,7.925e-05
87,10044.8,0.60975,0.46035,0.96632,0.14062,0.22281,0.1687,0.11653,1.53449,3.95295,1.62982,7.43e-05,7.43e-05,7.43e-05
88,10160.9,0.6052,0.46161,0.96459,0.14567,0.23966,0.17574,0.12392,1.52704,3.92784,1.61739,6.935e-05,6.935e-05,6.935e-05
89,10275,0.60639,0.45687,0.96439,0.16067,0.21057,0.17556,0.12246,1.5161,3.90264,1.60905,6.44e-05,6.44e-05,6.44e-05
90,10387.9,0.60676,0.46377,0.96168,0.14408,0.22861,0.16483,0.11614,1.4932,3.91274,1.59219,5.945e-05,5.945e-05,5.945e-05
91,10500.1,0.58614,0.40269,0.94012,0.14709,0.19731,0.15613,0.10658,1.53044,3.90276,1.60496,5.45e-05,5.45e-05,5.45e-05
92,10609.2,0.5776,0.39419,0.93459,0.14319,0.19323,0.15902,0.10887,1.51762,3.90588,1.59563,4.955e-05,4.955e-05,4.955e-05
93,10719.8,0.5699,0.38866,0.93498,0.147,0.21911,0.16476,0.11056,1.53737,3.92501,1.61624,4.46e-05,4.46e-05,4.46e-05
94,10830.7,0.56976,0.38776,0.93221,0.16829,0.20873,0.16514,0.11125,1.54824,3.9027,1.62421,3.965e-05,3.965e-05,3.965e-05
95,10941.2,0.56153,0.37935,0.9286,0.15998,0.2156,0.17026,0.11558,1.54303,3.8895,1.62235,3.47e-05,3.47e-05,3.47e-05
96,11053.3,0.5616,0.37966,0.9309,0.23292,0.21715,0.17283,0.11793,1.54254,3.89448,1.61686,2.975e-05,2.975e-05,2.975e-05
97,11165.6,0.556,0.37918,0.92555,0.22662,0.20552,0.16489,0.1134,1.53675,3.89723,1.61142,2.48e-05,2.48e-05,2.48e-05
98,11278,0.55949,0.37891,0.92582,0.24048,0.19197,0.16636,0.11598,1.52382,3.87193,1.60163,1.985e-05,1.985e-05,1.985e-05
99,11390.7,0.5556,0.37467,0.92618,0.15318,0.21926,0.16754,0.11386,1.53889,3.90534,1.61554,1.49e-05,1.49e-05,1.49e-05
100,11500.5,0.55409,0.37298,0.92814,0.15454,0.22406,0.16694,0.11427,1.5477,3.91258,1.62084,9.95e-06,9.95e-06,9.95e-06
