epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3019.06,1.72341,1.52458,0.90557,0.38285,0.26787,0.22743,0.14512,1.74286,1.56256,0.91441,0.00014496,0.00014496,0.00014496
43,3089.67,1.69864,1.50158,0.90075,0.50402,0.23941,0.24084,0.15542,1.738,1.54339,0.91425,0.000142545,0.000142545,0.000142545
44,3162.13,1.73736,1.52423,0.90671,0.36145,0.26525,0.23012,0.15004,1.75844,1.54512,0.91398,0.000140129,0.000140129,0.000140129
45,3230.8,1.72561,1.52947,0.90419,0.43773,0.25537,0.23874,0.15477,1.69477,1.53109,0.90948,0.000137714,0.000137714,0.000137714
46,3300.29,1.74115,1.51115,0.90354,0.36065,0.27339,0.22505,0.14455,1.74463,1.54824,0.91392,0.000135298,0.000135298,0.000135298
47,3367.46,1.70964,1.4962,0.89966,0.42974,0.26417,0.23648,0.14736,1.78302,1.54867,0.91942,0.000132882,0.000132882,0.000132882
48,3436.89,1.70831,1.47785,0.90025,0.44151,0.25075,0.23953,0.15281,1.73314,1.53889,0.91199,0.000130467,0.000130467,0.000130467
49,3505.03,1.70084,1.48677,0.90262,0.39805,0.25774,0.22804,0.14535,1.68676,1.52225,0.90918,0.000128051,0.000128051,0.000128051
50,3575.83,1.69148,1.46869,0.9012,0.37031,0.26261,0.22346,0.13896,1.72843,1.53642,0.91285,0.000125636,0.000125636,0.000125636
51,3644.53,1.6975,1.46804,0.89953,0.35667,0.25653,0.22711,0.14729,1.70941,1.53759,0.911,0.00012322,0.00012322,0.00012322
52,3713.18,1.68161,1.45845,0.9006,0.36717,0.27143,0.23857,0.15519,1.67107,1.50721,0.90654,0.000120804,0.000120804,0.000120804
53,3783.95,1.70546,1.46942,0.89967,0.37392,0.25947,0.23382,0.14787,1.72962,1.53491,0.91171,0.000118389,0.000118389,0.000118389
54,3857.47,1.67576,1.45816,0.89739,0.39381,0.27177,0.23181,0.15034,1.73571,1.53507,0.91473,0.000115973,0.000115973,0.000115973
55,3933.53,1.70162,1.48069,0.8997,0.37804,0.27189,0.25279,0.16146,1.66963,1.51,0.90567,0.000113558,0.000113558,0.000113558
56,4010.97,1.69971,1.46846,0.89945,0.34628,0.28761,0.24743,0.15377,1.68621,1.52222,0.91012,0.000111142,0.000111142,0.000111142
57,4079.59,1.68051,1.44298,0.89647,0.31748,0.27696,0.23582,0.15229,1.70307,1.51994,0.91157,0.000108726,0.000108726,0.000108726
58,4147.92,1.68229,1.43165,0.8961,0.35778,0.27691,0.25065,0.15693,1.67262,1.51315,0.90967,0.000106311,0.000106311,0.000106311
59,4217.6,1.68355,1.44628,0.89529,0.36098,0.30976,0.24765,0.15579,1.73401,1.53015,0.91535,0.000103895,0.000103895,0.000103895
60,4282.53,1.68721,1.43027,0.8966,0.36159,0.29353,0.24511,0.15939,1.66917,1.50068,0.90846,0.00010148,0.00010148,0.00010148
61,4350.74,1.67747,1.43995,0.89699,0.35658,0.29829,0.25074,0.16353,1.69295,1.49782,0.9091,9.9064e-05,9.9064e-05,9.9064e-05
62,4419.77,1.65996,1.42318,0.89471,0.31548,0.28122,0.2387,0.15341,1.77932,1.53178,0.91882,9.66484e-05,9.66484e-05,9.66484e-05
63,4489.75,1.65688,1.41259,0.89185,0.3627,0.29084,0.25589,0.16601,1.66556,1.48824,0.90911,9.42328e-05,9.42328e-05,9.42328e-05
64,4558.71,1.6687,1.42856,0.8939,0.34378,0.27982,0.24808,0.16382,1.72715,1.51135,0.91364,9.18172e-05,9.18172e-05,9.18172e-05
65,4629.31,1.69205,1.41946,0.89326,0.34457,0.29075,0.24632,0.16306,1.6953,1.50892,0.90912,8.94016e-05,8.94016e-05,8.94016e-05
66,4696.75,1.65588,1.41095,0.89343,0.37329,0.29105,0.25678,0.16761,1.70273,1.50844,0.9102,8.6986e-05,8.6986e-05,8.6986e-05
67,4770.86,1.64556,1.40596,0.89057,0.3531,0.28847,0.25643,0.16577,1.68503,1.49927,0.90992,8.45704e-05,8.45704e-05,8.45704e-05
68,4839.57,1.6419,1.40235,0.89149,0.34954,0.28793,0.2491,0.15966,1.67435,1.5014,0.90767,8.21548e-05,8.21548e-05,8.21548e-05
69,4908.98,1.6412,1.38722,0.89189,0.37323,0.27568,0.25112,0.16557,1.71379,1.49307,0.90969,7.97392e-05,7.97392e-05,7.97392e-05
70,4981.6,1.63912,1.39389,0.8913,0.33672,0.29275,0.24354,0.16088,1.684,1.50113,0.91062,7.73236e-05,7.73236e-05,7.73236e-05
71,5059.35,1.64501,1.38763,0.89157,0.36351,0.28515,0.25637,0.1685,1.67801,1.48313,0.90686,7.4908e-05,7.4908e-05,7.4908e-05
72,5138.93,1.64705,1.38488,0.89405,0.37865,0.29603,0.26039,0.17156,1.66698,1.48104,0.90619,7.24924e-05,7.24924e-05,7.24924e-05
73,5215.11,1.65024,1.39547,0.89099,0.41431,0.28656,0.26466,0.17024,1.65971,1.48965,0.90573,7.00768e-05,7.00768e-05,7.00768e-05
74,5291.25,1.66339,1.38975,0.88917,0.35863,0.30422,0.26139,0.16658,1.70404,1.50043,0.90899,6.76612e-05,6.76612e-05,6.76612e-05
75,5361.63,1.64626,1.3862,0.88856,0.35936,0.30476,0.26165,0.17007,1.6665,1.48619,0.90719,6.52456e-05,6.52456e-05,6.52456e-05
76,5428.7,1.65099,1.40195,0.88742,0.35301,0.30411,0.26135,0.16818,1.66988,1.4964,0.90751,6.283e-05,6.283e-05,6.283e-05
77,5499.44,1.62805,1.37455,0.88464,0.3908,0.29095,0.25256,0.1637,1.68069,1.50234,0.90642,6.04144e-05,6.04144e-05,6.04144e-05
78,5568,1.66465,1.40336,0.88932,0.36958,0.29963,0.26925,0.17277,1.68074,1.49294,0.90775,5.79988e-05,5.79988e-05,5.79988e-05
79,5632.51,1.63333,1.37601,0.89265,0.38716,0.31302,0.26964,0.1733,1.68813,1.49208,0.90758,5.55832e-05,5.55832e-05,5.55832e-05
80,5699.82,1.65345,1.37719,0.88786,0.38017,0.29352,0.26277,0.16871,1.6788,1.50515,0.90793,5.31676e-05,5.31676e-05,5.31676e-05
81,5771.54,1.60694,1.35344,0.88787,0.36466,0.30781,0.26595,0.16822,1.69736,1.49248,0.90817,5.0752e-05,5.0752e-05,5.0752e-05
82,5840.57,1.6267,1.37778,0.88582,0.3519,0.31952,0.26562,0.16867,1.68831,1.50004,0.90789,4.83364e-05,4.83364e-05,4.83364e-05
83,5908.28,1.6425,1.38312,0.88852,0.35265,0.32427,0.26582,0.1714,1.67879,1.49784,0.9048,4.59208e-05,4.59208e-05,4.59208e-05
84,5972.07,1.62752,1.35344,0.88575,0.37666,0.32356,0.26728,0.17099,1.70114,1.4997,0.9089,4.35052e-05,4.35052e-05,4.35052e-05
85,6041.51,1.63733,1.36587,0.88647,0.36566,0.34138,0.27067,0.1743,1.67805,1.48942,0.90732,4.10896e-05,4.10896e-05,4.10896e-05
86,6110.51,1.66159,1.36768,0.88544,0.36887,0.33562,0.2698,0.17375,1.6667,1.49264,0.90498,3.8674e-05,3.8674e-05,3.8674e-05
87,6186.11,1.60633,1.34077,0.88561,0.40618,0.32457,0.27323,0.17598,1.68361,1.49009,0.9053,3.62584e-05,3.62584e-05,3.62584e-05
88,6262.01,1.63209,1.3501,0.88695,0.37022,0.31435,0.27348,0.1752,1.66837,1.48842,0.9045,3.38428e-05,3.38428e-05,3.38428e-05
89,6335.76,1.64009,1.35428,0.8831,0.38998,0.29189,0.27609,0.17583,1.67033,1.49088,0.90552,3.14272e-05,3.14272e-05,3.14272e-05
90,6412.9,1.60541,1.34552,0.88437,0.39091,0.31221,0.27608,0.17636,1.66629,1.48541,0.90321,2.90116e-05,2.90116e-05,2.90116e-05
91,6478.88,1.55874,1.3413,0.8821,0.35989,0.29007,0.25422,0.16338,1.71112,1.53586,0.90721,2.6596e-05,2.6596e-05,2.6596e-05
92,6540.67,1.56223,1.33881,0.88108,0.3545,0.2898,0.25056,0.16157,1.67853,1.52642,0.90608,2.41804e-05,2.41804e-05,2.41804e-05
93,6602.64,1.55085,1.32942,0.88437,0.3562,0.32503,0.25965,0.16946,1.68402,1.51434,0.90465,2.17648e-05,2.17648e-05,2.17648e-05
94,6672.01,1.55293,1.31909,0.88177,0.38447,0.3111,0.26063,0.16863,1.68406,1.52077,0.90456,1.93492e-05,1.93492e-05,1.93492e-05
95,6740.92,1.55613,1.32611,0.88232,0.37134,0.31856,0.26072,0.16844,1.69285,1.51637,0.90554,1.69336e-05,1.69336e-05,1.69336e-05
96,6809.09,1.55443,1.30843,0.87884,0.37637,0.30046,0.26063,0.16629,1.70768,1.51881,0.9067,1.4518e-05,1.4518e-05,1.4518e-05
97,6874.18,1.54569,1.31856,0.8796,0.3651,0.32484,0.26414,0.16926,1.70464,1.50852,0.90592,1.21024e-05,1.21024e-05,1.21024e-05
98,6945.45,1.53328,1.30301,0.87756,0.37299,0.31909,0.26535,0.17134,1.6881,1.50439,0.90548,9.6868e-06,9.6868e-06,9.6868e-06
99,7020.72,1.54024,1.30417,0.8777,0.38327,0.31511,0.27031,0.17454,1.69385,1.49947,0.90507,7.2712e-06,7.2712e-06,7.2712e-06
100,7088.9,1.52306,1.31112,0.88188,0.38363,0.3136,0.26747,0.17195,1.68849,1.50231,0.90512,4.8556e-06,4.8556e-06,4.8556e-06
